,Metabolite,Formula,Polarity (z),mz,ppm,RT,RT_range,Detection,np OLFR2 A,np OLFR2 B,np OLFR2 C,np GPI1 A,np GPI1 B,NP GPI1 C,p OLFR2 A,p OLFR2 B,p GPI1 A,p GPI1 B,np_vs_p_ttest_pval,np_vs_p_Log2FoldChange,np_vs_p_impact_score,p_vs_np_ttest_pval,p_vs_np_Log2FoldChange,p_vs_np_impact_score
466,Adenosine diphosphate ribose-13C-12,C15H23N5O14P2-13C-12,-,570.1047,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
467,Adenosine diphosphate ribose-13C-13,C15H23N5O14P2-13C-13,-,571.108,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
468,Adenosine diphosphate ribose-13C-14,C15H23N5O14P2-13C-14,-,572.1114,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
469,Adenosine diphosphate ribose-13C-15,C15H23N5O14P2-13C-15,-,573.1147,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
470,Uridine diphosphate glucose-13C-0,C15H24N2O17P2-13C-0,-,565.0477,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
471,Uridine diphosphate glucose-13C-1,C15H24N2O17P2-13C-1,-,566.0511,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
472,Uridine diphosphate glucose-13C-2,C15H24N2O17P2-13C-2,-,567.0545,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
473,Uridine diphosphate glucose-13C-3,C15H24N2O17P2-13C-3,-,568.0578,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
474,Uridine diphosphate glucose-13C-4,C15H24N2O17P2-13C-4,-,569.0612,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
475,Uridine diphosphate glucose-13C-5,C15H24N2O17P2-13C-5,-,570.0645,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
476,Uridine diphosphate glucose-13C-6,C15H24N2O17P2-13C-6,-,571.0679,2.3,13.61,0.1,5,11405,-,-,-,-,-,20870,23452,19517,21870,2.8598041432448047e-07,-1.0660530712129348,115899.0,2.8598041432448047e-07,1.0660530712129348,115899.0
477,Uridine diphosphate glucose-13C-7,C15H24N2O17P2-13C-7,-,572.0712,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
