,Metabolite,Formula,Ion Type,mz,ppm,RT,RT_range,Detection,T1,T2,T3,T4,T5,T6,TomminusDox_vs_TomplusDox_ttest_pval,TomminusDox_vs_TomplusDox_Log2FoldChange,TomminusDox_vs_TomplusDox_impact_score,TomplusDox_vs_TomminusDox_ttest_pval,TomplusDox_vs_TomminusDox_Log2FoldChange,TomplusDox_vs_TomminusDox_impact_score
91,L-Tyrosine,C9H11NO3,[M+H]+,182.0812,-2.6,9.61,0.18,6,51264604,58364700,66300648,52554140,48337616,57981244,0.3325573661742491,-0.14712715821096944,186.0,0.3325573661742491,0.1471271582109693,186.0
92,L-Valine,C5H11NO2,[M+H]+,118.0863,-0.5,9.11,0.13,6,148799712,158816064,170858704,148039488,138931456,160457712,0.3105568413103927,-0.09678432077187923,531.0,0.3105568413103927,0.09678432077187918,531.0
93,N6-Acetyl-L-lysine,C8H16N2O3,[M+H]+,189.1234,-10.4,3.21,0.09,6,1959962,1835435,2907500,909120,2562450,809231,0.28939161270238045,-0.6469039937888587,10.0,0.28939161270238045,0.6469039937888585,10.0
94,N-Acetylglutamic acid,C7H11NO5,[M+H]+,190.071,-3.2,11.73,0.29,4,384347,355553,558756,-,-,159210,0.011991516361794671,-1.4769713811997007,68.0,0.011991516361794671,1.4769713811997007,68.0
95,N-Acetylglutamine,C7H12N2O4,[M-H]-,187.0724,-6.0,8.03,0.22,6,301186,310960,314107,209157,233193,232259,0.0006677910569737544,-0.4573547445400347,549.0,0.0006677910569737544,0.4573547445400348,549.0
96,N-Acetyl-L-alanine,C5H9NO3,[M+H]+,132.0655,-2.4,6.5,0.44,6,2832395,3267759,3272030,3406511,3241805,3490239,0.1922999043248841,0.11339486313966905,18.0,0.1922999043248841,-0.11339486313966896,18.0
97,N-Acetyl-L-methionine,C7H13NO3S,[M+H]+,192.0689,-3.1,4.17,0.26,6,1006121,1109498,1271989,1160448,1003276,1158116,0.8256466986684123,-0.02828435560563657,1.0,0.8256466986684123,0.028284355605636562,1.0
98,N-Acetyl-L-phenylalanine,C11H13NO3,[M+H]+,208.0968,-2.5,3.55,0.1,1,-,-,109928,-,-,-,0.3739009663000621,-0.008352307133256751,0.0,0.3739009663000621,0.008352307133256576,0.0
99,N-Acetylornithine,C7H14N2O3,[M+H]+,175.1077,-1.8,10.06,0.34,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
100,N-Acetylserine,C5H9NO4,[M-H]-,146.0459,-8.1,8.16,0.29,6,8708903,9445965,10088244,10132806,10447740,11096042,0.07937229996562115,0.16551788348778276,141.0,0.07937229996562115,-0.16551788348778262,141.0
101,NAD,C21H28N7O14P2,[Cat]+,664.1164,-0.5,11.17,0.21,6,936752,1262711,1460620,1066309,1291548,1444292,0.8136239693139506,0.05493870495996642,2.0,0.8136239693139506,-0.05493870495996641,2.0
102,NADH,C21H29N7O14P2,[M-H]-,664.1175,-1.4,10.69,0.18,6,150227,199524,209523,202926,182648,242450,0.4176382221816653,0.1672644302435024,1.0,0.4176382221816653,-0.1672644302435024,1.0
103,NADP,C21H29N7O17P3,[Cat]+,744.0827,-5.4,14.06,0.24,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
104,NADPH,C21H30N7O17P3,[M-H]-,744.0838,-2.9,14.53,0.2,6,42060,37964,52728,47938,42403,51923,0.5745876426286508,0.09983703672216762,0.0,0.5745876426286508,-0.09983703672216744,0.0
105,Niacinamide,C6H6N2O,[M+H]+,123.0553,-2.4,4.71,0.09,6,49113424,55881084,66919368,58206400,59507060,70677856,0.4474015570124286,0.13204646826536612,147.0,0.4474015570124286,-0.13204646826536606,147.0
106,Nicotinic acid,C6H5NO2,[M-H]-,122.0248,-7.8,6.55,0.46,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
107,O-Phosphoethanolamine,C2H8NO4P,[M+H]+,142.0264,0.2,11.89,0.18,1,-,-,26612,-,-,-,0.3739009663000589,-0.6357389157853639,0.0,0.3739009663000589,0.635738915785364,0.0
108,Ornithine,C5H12N2O2,[M+H]+,133.0972,-1.9,17.69,0.15,6,6604819,9301530,9214019,7476945,8384546,9838633,0.8714549627031105,0.0329177211679703,10.0,0.8714549627031105,-0.03291772116797015,10.0
109,Orotic acid,C5H4N2O4,[M-H]-,155.0098,-7.3,7.71,0.33,6,75311,89395,108352,95784,89650,111055,0.5341356229724646,0.1187711552931082,0.0,0.5341356229724646,-0.11877115529310825,0.0
110,Orotidylic acid,C10H13N2O11P,[M+H]+,369.033,-4.3,7.96,0.0,1,11090,-,-,-,-,-,0.37390096630005787,-0.051488115957820914,0.0,0.37390096630005787,0.05148811595782087,0.0
111,Oxidized glutathione,C20H32N6O12S2,[M+H]+,613.1592,-2.8,14.77,0.09,6,3937685,8069208,11880018,14841559,11513949,13288829,0.10223387152724983,0.7308944988278325,172.0,0.10223387152724983,-0.7308944988278325,172.0
112,Oxoadipic acid,C6H8O5,[M-H]-,159.0299,-6.3,7.54,0.21,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
113,Oxoglutaric acid,C5H6O5,[M-H]-,145.0142,-8.6,12.86,0.22,6,14569729,17435206,17603790,20030276,19767914,22893260,0.03600338429604201,0.33767481964795315,657.0,0.03600338429604201,-0.3376748196479531,657.0
114,Palmitic acid,C16H32O2,[M-H]-,255.233,-2.6,2.85,0.09,6,6817709,9505565,9533514,6131006,5652634,11513757,0.7032067896316804,-0.15037429811451536,13.0,0.7032067896316804,0.1503742981145153,13.0
115,Pantothenic acid,C9H17NO5,[M+H]+,220.118,-3.0,6.21,0.45,6,29292520,31968604,34295060,36315540,36309940,38994168,0.03448320930751032,0.22416985529565106,1170.0,0.03448320930751032,-0.22416985529565106,1170.0
116,Phenol,C6H6O,[M-H]-,93.0346,-13.9,3.42,0.26,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
117,Phosphocreatine,C4H10N3O5P,[M-H]-,210.0285,-4.0,12.39,0.08,6,1891732,2524896,3403469,3161008,3813594,3899783,0.10962236668843188,0.4756754039059749,40.0,0.10962236668843188,-0.4756754039059748,40.0
118,Phosphoenolpyruvic acid,C3H5O6P,[M-H]-,166.9751,-6.6,14.81,0.24,6,83741,141528,341307,250002,397324,560698,0.14655974161924898,1.0923077212268355,4.0,0.14655974161924898,-1.0923077212268355,4.0
